lr_a,lr_b,epoch,mean_cka,std_cka,n
0.05,0.1,0,1.0,0.0,5
0.05,0.1,1,0.596419055340611,0.14740931274997413,5
0.05,0.1,2,0.7665693603486897,0.0575564354370851,5
0.05,0.1,3,0.8237310925298944,0.039217800749768515,5
0.05,0.1,4,0.8133280169189332,0.05930156400268221,5
0.05,0.1,5,0.8652732071992231,0.008961430826772863,5
0.05,0.1,6,0.8968731820728728,0.012150686129534745,5
0.05,0.1,7,0.8866762416195577,0.01898140030344684,5
0.05,0.1,8,0.878375806585297,0.01677129714327772,5
0.05,0.1,9,0.8655927806446447,0.030994860585887695,5
0.05,0.1,10,0.8740413933607103,0.02637142823623896,5
0.05,0.1,11,0.8797193091773418,0.021914407794074376,5
0.05,0.1,12,0.8737969741204917,0.021434619667833395,5
0.05,0.1,13,0.8704873062059401,0.019972331152560432,5
0.05,0.1,14,0.8601790603925747,0.03184885562972148,5
0.05,0.1,15,0.8479721427582134,0.01563705501878951,5
0.05,0.1,16,0.8590256509619939,0.0071986608790580355,5
0.05,0.1,17,0.8543419515422228,0.020697659993448202,5
0.05,0.1,18,0.855488920071583,0.02737126212036903,5
0.05,0.1,19,0.8498562966696376,0.027077386762927917,5
0.05,0.1,20,0.8576869741729691,0.033700747279969016,5
0.05,0.1,22,0.8606237021108918,0.009225821178583686,5
0.05,0.1,24,0.859039857272505,0.03599667648726553,5
0.05,0.1,26,0.8393092148847806,0.02687733937232512,5
0.05,0.1,28,0.8478125176027266,0.013101310667287001,5
0.05,0.1,30,0.8547446377746214,0.025626283418859,5
0.05,0.1,35,0.8426202104183831,0.011814025232229264,5
0.05,0.1,40,0.8391923711828925,0.015659078068764758,5
0.05,0.1,45,0.8423956658027467,0.010139154818397295,5
0.05,0.1,50,0.854415363079764,0.020234581796538018,5
0.05,0.1,60,0.8324219096349719,0.016599298101615454,5
0.05,0.1,70,0.8439097757442802,0.014333526221104573,5
0.05,0.1,80,0.8394834510102861,0.018701440739286642,5
0.05,0.1,90,0.839717922338734,0.016948413199937604,5
0.05,0.1,100,0.8435965676808228,0.013313139308494981,5
0.05,0.1,110,0.8479052993041677,0.007791149580794572,5
0.05,0.1,120,0.8541320231185641,0.012283421184466238,5
0.05,0.1,130,0.847180978319096,0.009731250609262778,5
0.05,0.1,140,0.8636777171656126,0.01028011920141739,5
0.05,0.1,150,0.8691921936173443,0.005389326901192998,5
0.05,0.1,160,0.9047644705932816,0.005575618662082208,5
0.05,0.1,170,0.941073059200799,0.0030383949097483073,5
0.05,0.1,180,0.9560685043567536,0.0033899565500366594,5
0.05,0.1,190,0.9604411854819187,0.002729633251506324,5
0.05,0.1,200,0.9611519707068166,0.002919819851940127,5
0.05,0.2,0,1.0,0.0,5
0.05,0.2,1,0.5772689320768352,0.1433088290087178,5
0.05,0.2,2,0.6250277729336571,0.04243499612104038,5
0.05,0.2,3,0.6958015414301555,0.0893183957012782,5
0.05,0.2,4,0.7258877737826177,0.05961351073191455,5
0.05,0.2,5,0.8008744101710477,0.04825873256084559,5
0.05,0.2,6,0.8217762095744776,0.058423509950612254,5
0.05,0.2,7,0.8209961260051563,0.03223473059555248,5
0.05,0.2,8,0.8327030954645025,0.012074495690134558,5
0.05,0.2,9,0.8261654663249406,0.027545092857668173,5
0.05,0.2,10,0.795979487492934,0.03495696951712872,5
0.05,0.2,11,0.8052319612541442,0.04226938896926155,5
0.05,0.2,12,0.8219976189056645,0.030607194361350457,5
0.05,0.2,13,0.8213722726105083,0.043326594796850006,5
0.05,0.2,14,0.8081969231978213,0.02850491687962284,5
0.05,0.2,15,0.788128397958762,0.04142756226914776,5
0.05,0.2,16,0.8097890401902269,0.02256791514054255,5
0.05,0.2,17,0.7912034337679109,0.037634741867320444,5
0.05,0.2,18,0.8206935604007161,0.025014637240054254,5
0.05,0.2,19,0.8080902422385664,0.021412481187050775,5
0.05,0.2,20,0.8096024490268189,0.02684496951488304,5
0.05,0.2,22,0.8009456317815996,0.024762264054301136,5
0.05,0.2,24,0.8055582994500948,0.013137169824215684,5
0.05,0.2,26,0.7881074367811642,0.0317142098929735,5
0.05,0.2,28,0.7869117646373315,0.032446679209618856,5
0.05,0.2,30,0.7581062161296669,0.045426639678775055,5
0.05,0.2,35,0.7967129422556554,0.028286966184282954,5
0.05,0.2,40,0.7664655959149591,0.03721719448332212,5
0.05,0.2,45,0.7746446016103004,0.024357114751499515,5
0.05,0.2,50,0.7735124173231074,0.031141785801896964,5
0.05,0.2,60,0.7676036904890847,0.01712427352997558,5
0.05,0.2,70,0.7639632142656713,0.03283158200714386,5
0.05,0.2,80,0.7723605793329144,0.024758842631696025,5
0.05,0.2,90,0.7730069338811006,0.017189126856254736,5
0.05,0.2,100,0.7705561071123836,0.015365024720994996,5
0.05,0.2,110,0.783269099769415,0.013864948447225007,5
0.05,0.2,120,0.7968563292794455,0.006435362456710515,5
0.05,0.2,130,0.8001369558431988,0.012447916623172508,5
0.05,0.2,140,0.8200727658027027,0.006047805959433053,5
0.05,0.2,150,0.8299113276556171,0.01555687457115314,5
0.05,0.2,160,0.8609603837182973,0.00804596886799685,5
0.05,0.2,170,0.893637411781128,0.0032056842094249447,5
0.05,0.2,180,0.9304133620720958,0.002084996448526006,5
0.05,0.2,190,0.9456586166288572,0.003046193510200512,5
0.05,0.2,200,0.9479367510087074,0.0027216107101840368,5
0.1,0.2,0,1.0,0.0,5
0.1,0.2,1,0.6716270997901775,0.04309693441711908,5
0.1,0.2,2,0.7302055194900204,0.09699568349550917,5
0.1,0.2,3,0.7780937829340695,0.05926065917899988,5
0.1,0.2,4,0.7864818352915396,0.045527627885085645,5
0.1,0.2,5,0.8282231799395765,0.04196160436284513,5
0.1,0.2,6,0.848480310231586,0.03738496869252589,5
0.1,0.2,7,0.8573110783656539,0.015854133800438687,5
0.1,0.2,8,0.8405641992695655,0.03626210553837008,5
0.1,0.2,9,0.8408934783859501,0.012982042596336467,5
0.1,0.2,10,0.82803410188739,0.020890128290009306,5
0.1,0.2,11,0.8272357847407846,0.03003126123059945,5
0.1,0.2,12,0.8360280114156564,0.014469004508744013,5
0.1,0.2,13,0.8281315664307891,0.02328212965597045,5
0.1,0.2,14,0.8189509164149241,0.03974661979761102,5
0.1,0.2,15,0.8205587091666088,0.05677173021912151,5
0.1,0.2,16,0.8393232023031096,0.019489876147218647,5
0.1,0.2,17,0.8205189307310501,0.031695345289051324,5
0.1,0.2,18,0.81275471509598,0.04061026574524514,5
0.1,0.2,19,0.838500268775668,0.025581411281478967,5
0.1,0.2,20,0.8290380718149665,0.022908532626168866,5
0.1,0.2,22,0.8257571116069874,0.024018705321672416,5
0.1,0.2,24,0.8267898199143155,0.012836673525823024,5
0.1,0.2,26,0.809060923758181,0.0068503537998956246,5
0.1,0.2,28,0.806373349927892,0.040612056800493415,5
0.1,0.2,30,0.8086352491218584,0.035728408612584216,5
0.1,0.2,35,0.8400706484361304,0.025864490243812602,5
0.1,0.2,40,0.8165697438608918,0.020317809566721218,5
0.1,0.2,45,0.826565039502649,0.029261668692048867,5
0.1,0.2,50,0.8206554179893478,0.02539550866501523,5
0.1,0.2,60,0.8177817583198301,0.027127506079698285,5
0.1,0.2,70,0.8006655356607345,0.0418041876834827,5
0.1,0.2,80,0.8309426374955967,0.023307884536864318,5
0.1,0.2,90,0.8299482115443109,0.017993039026828757,5
0.1,0.2,100,0.8322368691737649,0.020744933213616437,5
0.1,0.2,110,0.8283861062995438,0.025722742925609787,5
0.1,0.2,120,0.8488339093431019,0.007850939402415522,5
0.1,0.2,130,0.8332705051108011,0.013983761352583165,5
0.1,0.2,140,0.850688349629039,0.012032604150941264,5
0.1,0.2,150,0.8449374942652872,0.008427444979478872,5
0.1,0.2,160,0.8673883481997076,0.00627313587871806,5
0.1,0.2,170,0.8975232726301285,0.002686227154283911,5
0.1,0.2,180,0.9343118236675554,0.00316564732039175,5
0.1,0.2,190,0.9494695646246193,0.0035932188189677756,5
0.1,0.2,200,0.9513433175567775,0.003500281723488263,5
