run_a,lr_a,seed_a,run_b,lr_b,seed_b,cka,same_lr,same_seed
final_lr005_seed0,0.05,0,final_lr005_seed0,0.05,0,1.0,True,True
final_lr005_seed0,0.05,0,final_lr005_seed1,0.05,1,0.9639488575152022,True,False
final_lr005_seed0,0.05,0,final_lr005_seed2,0.05,2,0.9655591914351829,True,False
final_lr005_seed0,0.05,0,final_lr005_seed3,0.05,3,0.9646856662489872,True,False
final_lr005_seed0,0.05,0,final_lr005_seed42,0.05,42,0.964638221651056,True,False
final_lr005_seed0,0.05,0,final_lr010_seed0,0.1,0,0.9629975296847656,False,True
final_lr005_seed0,0.05,0,final_lr010_seed1,0.1,1,0.9561982465014991,False,False
final_lr005_seed0,0.05,0,final_lr010_seed2,0.1,2,0.9614918526809934,False,False
final_lr005_seed0,0.05,0,final_lr010_seed3,0.1,3,0.9625789371645054,False,False
final_lr005_seed0,0.05,0,final_lr010_seed42,0.1,42,0.9628452212094502,False,False
final_lr005_seed0,0.05,0,final_lr020_seed0,0.2,0,0.9511309508154214,False,True
final_lr005_seed0,0.05,0,final_lr020_seed1,0.2,1,0.9482269926191946,False,False
final_lr005_seed0,0.05,0,final_lr020_seed2,0.2,2,0.9500115535308962,False,False
final_lr005_seed0,0.05,0,final_lr020_seed3,0.2,3,0.9444543806954209,False,False
final_lr005_seed0,0.05,0,final_lr020_seed42,0.2,42,0.9481987432909212,False,False
final_lr005_seed1,0.05,1,final_lr005_seed1,0.05,1,1.0,True,True
final_lr005_seed1,0.05,1,final_lr005_seed2,0.05,2,0.9636633878138442,True,False
final_lr005_seed1,0.05,1,final_lr005_seed3,0.05,3,0.9632648219372009,True,False
final_lr005_seed1,0.05,1,final_lr005_seed42,0.05,42,0.9644435377436481,True,False
final_lr005_seed1,0.05,1,final_lr010_seed0,0.1,0,0.9598163041407045,False,False
final_lr005_seed1,0.05,1,final_lr010_seed1,0.1,1,0.9562662052478349,False,True
final_lr005_seed1,0.05,1,final_lr010_seed2,0.1,2,0.9598063546330933,False,False
final_lr005_seed1,0.05,1,final_lr010_seed3,0.1,3,0.9594706348272173,False,False
final_lr005_seed1,0.05,1,final_lr010_seed42,0.1,42,0.9611807151677804,False,False
final_lr005_seed1,0.05,1,final_lr020_seed0,0.2,0,0.9489211807448352,False,False
final_lr005_seed1,0.05,1,final_lr020_seed1,0.2,1,0.9474067939480584,False,True
final_lr005_seed1,0.05,1,final_lr020_seed2,0.2,2,0.9473696075776074,False,False
final_lr005_seed1,0.05,1,final_lr020_seed3,0.2,3,0.9420230687001029,False,False
final_lr005_seed1,0.05,1,final_lr020_seed42,0.2,42,0.9474895204737187,False,False
final_lr005_seed2,0.05,2,final_lr005_seed2,0.05,2,1.0,True,True
final_lr005_seed2,0.05,2,final_lr005_seed3,0.05,3,0.9646106067649002,True,False
final_lr005_seed2,0.05,2,final_lr005_seed42,0.05,42,0.9655253439569516,True,False
final_lr005_seed2,0.05,2,final_lr010_seed0,0.1,0,0.9621898305743198,False,False
final_lr005_seed2,0.05,2,final_lr010_seed1,0.1,1,0.9568794886146833,False,False
final_lr005_seed2,0.05,2,final_lr010_seed2,0.1,2,0.9631698509425481,False,True
final_lr005_seed2,0.05,2,final_lr010_seed3,0.1,3,0.9616726876870081,False,False
final_lr005_seed2,0.05,2,final_lr010_seed42,0.1,42,0.9623892387290258,False,False
final_lr005_seed2,0.05,2,final_lr020_seed0,0.2,0,0.9519779797046469,False,False
final_lr005_seed2,0.05,2,final_lr020_seed1,0.2,1,0.9479364506333178,False,False
final_lr005_seed2,0.05,2,final_lr020_seed2,0.2,2,0.9492708913106583,False,True
final_lr005_seed2,0.05,2,final_lr020_seed3,0.2,3,0.9441955459088112,False,False
final_lr005_seed2,0.05,2,final_lr020_seed42,0.2,42,0.9486519708756374,False,False
final_lr005_seed3,0.05,3,final_lr005_seed3,0.05,3,1.0,True,True
final_lr005_seed3,0.05,3,final_lr005_seed42,0.05,42,0.9645481476537656,True,False
final_lr005_seed3,0.05,3,final_lr010_seed0,0.1,0,0.9614287655054771,False,False
final_lr005_seed3,0.05,3,final_lr010_seed1,0.1,1,0.9572362930798158,False,False
final_lr005_seed3,0.05,3,final_lr010_seed2,0.1,2,0.9607133335747743,False,False
final_lr005_seed3,0.05,3,final_lr010_seed3,0.1,3,0.9606071547368248,False,True
final_lr005_seed3,0.05,3,final_lr010_seed42,0.1,42,0.9618114560810719,False,False
final_lr005_seed3,0.05,3,final_lr020_seed0,0.2,0,0.9499451907634404,False,False
final_lr005_seed3,0.05,3,final_lr020_seed1,0.2,1,0.9480222538773722,False,False
final_lr005_seed3,0.05,3,final_lr020_seed2,0.2,2,0.948202435168364,False,False
final_lr005_seed3,0.05,3,final_lr020_seed3,0.2,3,0.9437729083932774,False,True
final_lr005_seed3,0.05,3,final_lr020_seed42,0.2,42,0.9477909445918605,False,False
final_lr005_seed42,0.05,42,final_lr005_seed42,0.05,42,1.0,True,True
final_lr005_seed42,0.05,42,final_lr010_seed0,0.1,0,0.9616742473670232,False,False
final_lr005_seed42,0.05,42,final_lr010_seed1,0.1,1,0.9569813379660298,False,False
final_lr005_seed42,0.05,42,final_lr010_seed2,0.1,2,0.9623947630894502,False,False
final_lr005_seed42,0.05,42,final_lr010_seed3,0.1,3,0.960519223698285,False,False
final_lr005_seed42,0.05,42,final_lr010_seed42,0.1,42,0.9627191129221097,False,True
final_lr005_seed42,0.05,42,final_lr020_seed0,0.2,0,0.9506316109741139,False,False
final_lr005_seed42,0.05,42,final_lr020_seed1,0.2,1,0.9477832241810994,False,False
final_lr005_seed42,0.05,42,final_lr020_seed2,0.2,2,0.9482960589846716,False,False
final_lr005_seed42,0.05,42,final_lr020_seed3,0.2,3,0.9434569726857652,False,False
final_lr005_seed42,0.05,42,final_lr020_seed42,0.2,42,0.9481022105761218,False,True
final_lr010_seed0,0.1,0,final_lr010_seed0,0.1,0,1.0,True,True
final_lr010_seed0,0.1,0,final_lr010_seed1,0.1,1,0.9559123717038995,True,False
final_lr010_seed0,0.1,0,final_lr010_seed2,0.1,2,0.9624479421661561,True,False
final_lr010_seed0,0.1,0,final_lr010_seed3,0.1,3,0.9619065541463754,True,False
final_lr010_seed0,0.1,0,final_lr010_seed42,0.1,42,0.9633856404651391,True,False
final_lr010_seed0,0.1,0,final_lr020_seed0,0.2,0,0.9561544226052222,False,True
final_lr010_seed0,0.1,0,final_lr020_seed1,0.2,1,0.9515526522935391,False,False
final_lr010_seed0,0.1,0,final_lr020_seed2,0.2,2,0.9529871619079104,False,False
final_lr010_seed0,0.1,0,final_lr020_seed3,0.2,3,0.9476921630220924,False,False
final_lr010_seed0,0.1,0,final_lr020_seed42,0.2,42,0.9503017749856978,False,False
final_lr010_seed1,0.1,1,final_lr010_seed1,0.1,1,1.0,True,True
final_lr010_seed1,0.1,1,final_lr010_seed2,0.1,2,0.9579645166041355,True,False
final_lr010_seed1,0.1,1,final_lr010_seed3,0.1,3,0.9550628050474967,True,False
final_lr010_seed1,0.1,1,final_lr010_seed42,0.1,42,0.956295784450447,True,False
final_lr010_seed1,0.1,1,final_lr020_seed0,0.2,0,0.9492724247509711,False,False
final_lr010_seed1,0.1,1,final_lr020_seed1,0.2,1,0.9476123823735295,False,True
final_lr010_seed1,0.1,1,final_lr020_seed2,0.2,2,0.9485985476478853,False,False
final_lr010_seed1,0.1,1,final_lr020_seed3,0.2,3,0.9428423497491873,False,False
final_lr010_seed1,0.1,1,final_lr020_seed42,0.2,42,0.9478107802808096,False,False
final_lr010_seed2,0.1,2,final_lr010_seed2,0.1,2,1.0,True,True
final_lr010_seed2,0.1,2,final_lr010_seed3,0.1,3,0.9612551830416821,True,False
final_lr010_seed2,0.1,2,final_lr010_seed42,0.1,42,0.9626243925315829,True,False
final_lr010_seed2,0.1,2,final_lr020_seed0,0.2,0,0.9535883536832858,False,False
final_lr010_seed2,0.1,2,final_lr020_seed1,0.2,1,0.9516904123013262,False,False
final_lr010_seed2,0.1,2,final_lr020_seed2,0.2,2,0.9531147993764716,False,True
final_lr010_seed2,0.1,2,final_lr020_seed3,0.2,3,0.9468965559430148,False,False
final_lr010_seed2,0.1,2,final_lr020_seed42,0.2,42,0.9499766671135104,False,False
final_lr010_seed3,0.1,3,final_lr010_seed3,0.1,3,1.0,True,True
final_lr010_seed3,0.1,3,final_lr010_seed42,0.1,42,0.962844726192204,True,False
final_lr010_seed3,0.1,3,final_lr020_seed0,0.2,0,0.9538402135230453,False,False
final_lr010_seed3,0.1,3,final_lr020_seed1,0.2,1,0.9520482122264288,False,False
final_lr010_seed3,0.1,3,final_lr020_seed2,0.2,2,0.9528246226324932,False,False
final_lr010_seed3,0.1,3,final_lr020_seed3,0.2,3,0.9483784704437027,False,True
final_lr010_seed3,0.1,3,final_lr020_seed42,0.2,42,0.9500986229628977,False,False
final_lr010_seed42,0.1,42,final_lr010_seed42,0.1,42,1.0,True,True
final_lr010_seed42,0.1,42,final_lr020_seed0,0.2,0,0.9552020078361657,False,False
final_lr010_seed42,0.1,42,final_lr020_seed1,0.2,1,0.9517278890585097,False,False
final_lr010_seed42,0.1,42,final_lr020_seed2,0.2,2,0.9528496777536473,False,False
final_lr010_seed42,0.1,42,final_lr020_seed3,0.2,3,0.9489933038800391,False,False
final_lr010_seed42,0.1,42,final_lr020_seed42,0.2,42,0.951456512984961,False,True
final_lr020_seed0,0.2,0,final_lr020_seed0,0.2,0,1.0,True,True
final_lr020_seed0,0.2,0,final_lr020_seed1,0.2,1,0.9521330853237882,True,False
final_lr020_seed0,0.2,0,final_lr020_seed2,0.2,2,0.9529607961951374,True,False
final_lr020_seed0,0.2,0,final_lr020_seed3,0.2,3,0.9482098788957037,True,False
final_lr020_seed0,0.2,0,final_lr020_seed42,0.2,42,0.9508641003747547,True,False
final_lr020_seed1,0.2,1,final_lr020_seed1,0.2,1,1.0,True,True
final_lr020_seed1,0.2,1,final_lr020_seed2,0.2,2,0.9520686320873883,True,False
final_lr020_seed1,0.2,1,final_lr020_seed3,0.2,3,0.9488038233955483,True,False
final_lr020_seed1,0.2,1,final_lr020_seed42,0.2,42,0.9483101049587054,True,False
final_lr020_seed2,0.2,2,final_lr020_seed2,0.2,2,1.0,True,True
final_lr020_seed2,0.2,2,final_lr020_seed3,0.2,3,0.9483625415524684,True,False
final_lr020_seed2,0.2,2,final_lr020_seed42,0.2,42,0.9494876885384034,True,False
final_lr020_seed3,0.2,3,final_lr020_seed3,0.2,3,1.0,True,True
final_lr020_seed3,0.2,3,final_lr020_seed42,0.2,42,0.9448694227064101,True,False
final_lr020_seed42,0.2,42,final_lr020_seed42,0.2,42,1.0,True,True
