epoch,lr,train_loss,train_acc,network_test_acc,local_cka_change,cka_to_final,mean_future_cka,below_tau,nc1,log10_nc1,nc2_etf_deviation,nc3_weight_mean_alignment,nc4_ncm_disagreement,logistic_acc,linear_svm_acc,rbf_svm_acc,rf_acc,lightgbm_acc,entk_distance_prev,entk_distance_final,mean_future_entk_similarity,entk_within_class_mean,entk_between_class_mean,entk_within_between_ratio,n_subset,per_class_subset_size,bias_included,logistic_gap_to_final,logistic_relative_to_final_network,linear_svm_gap_to_final,linear_svm_relative_to_final_network,rbf_svm_gap_to_final,rbf_svm_relative_to_final_network,rf_gap_to_final,rf_relative_to_final_network,lightgbm_gap_to_final,lightgbm_relative_to_final_network
0,0.1,,,0.1,,0.040912,0.056703,0,48.91915987,1.689479,1.94738965,1.40724355,0.96476,0.4421,0.3893,0.4029,0.3745,,,0.06946476,0.84998018,1410.79232981,0.0,1410792329805704.8,500,50,1,0.5153000000000001,0.46143408829975996,0.5675,0.40632501826531675,0.5556000000000001,0.420519778728734,0.5820000000000001,0.39087777893748044,,
1,0.1,1.9775336699295043,0.28794,0.3784,0.865171,0.344841,0.454888,0,61.03506016,1.785579,1.77351836,0.75970117,0.33698,0.5248,0.4861,0.4731,0.4905,,0.17761588,0.10865992,0.87943691,12.23356192,0.0,12233561919916.123,500,50,1,0.4326,0.5477507567059806,0.4707,0.5073583133284626,0.4854,0.493789792297255,0.466,0.5119507358313329,,
2,0.099993831624083,1.4422083611297607,0.47248,0.5423,0.294882,0.468886,0.59537,0,7.49984389,0.875052,1.45045569,0.61334615,0.24376,0.6271,0.5826,0.6015,0.6024,,0.06429707,0.08554601,0.90696473,15.89579478,0.0,15895794781957.154,500,50,1,0.33030000000000004,0.6545245798977143,0.3742,0.6080784886755036,0.357,0.6278050307901055,0.35409999999999997,0.6287443899384199,,
3,0.0999753280182865,1.153060462265015,0.58478,0.597,0.189749,0.529841,0.652338,0,2.87623657,0.458825,1.40678249,0.61928741,0.27512,0.7024,0.6607,0.6815,0.6778,,0.03579733,0.09232472,0.91644014,20.77152584,0.0,20771525836423.62,500,50,1,0.255,0.7331176286400167,0.29610000000000003,0.6895939881014508,0.277,0.711303621751383,0.27870000000000006,0.7074418119194239,,
4,0.0999444937480985,0.9490307336425782,0.66448,0.6524,0.249983,0.565496,0.694737,0,1.68879743,0.227578,1.16676516,0.6292129,0.21462,0.7609,0.7238,0.7422,0.7458,,0.08720287,0.14711608,0.88211436,22.76880366,0.0,22768803660132.496,500,50,1,0.1965,0.794175973280451,0.23299999999999998,0.7554535017221585,0.21630000000000005,0.7746581776432523,0.2107,0.7784156142365098,,
5,0.0999013364214135,0.7742334258270264,0.72794,0.658,0.239933,0.614678,0.719439,0,1.14053442,0.057108,1.01176603,0.57735989,0.26364,0.8055,0.7687,0.793,0.7921,,0.09277421,0.09784411,0.91474861,21.68178496,0.0,21681784964356.797,500,50,1,0.15190000000000003,0.8407264377413631,0.18809999999999993,0.8023170858991755,0.16549999999999998,0.8276797829036636,0.1644,0.8267404237553492,,
6,0.0998458666866564,0.6725376591587067,0.7643,0.7806,0.183749,0.646745,0.759015,0,0.89308164,-0.049109,1.01594409,0.53577985,0.13098,0.8269,0.7927,0.8181,0.8199,,0.06805756,0.12336662,0.90694836,21.90603487,0.0,21906034870982.723,500,50,1,0.13050000000000006,0.8630623108235048,0.16410000000000002,0.8273666631875587,0.14039999999999997,0.8538774658177645,0.13660000000000005,0.855756184114393,,
7,0.099778098230154,0.5992633584403991,0.79444,0.796,0.113373,0.673408,0.780687,0,0.7954445,-0.09939,0.946222,0.48400865,0.09922,0.8368,0.8021,0.8269,0.8231,,0.03530423,0.11633011,0.9183941,23.99945697,0.0,23999456965060.17,500,50,1,0.12060000000000004,0.8733952614549629,0.15469999999999995,0.8371777476255089,0.13160000000000005,0.8630623108235048,0.13339999999999996,0.8590961277528443,,
8,0.099698047772759,0.5529296292495728,0.80864,0.7507,0.148294,0.629204,0.731541,0,0.73259001,-0.135139,1.04066571,0.57247812,0.16228,0.849,0.8202,0.8399,0.838,,0.06501832,0.1851227,0.86675793,22.46151248,0.0,22461512475612.03,500,50,1,0.10840000000000005,0.8861287965765577,0.13659999999999994,0.856069303830498,0.11860000000000004,0.8766308318547125,0.11850000000000005,0.8746477403193821,,
9,0.0996057350657239,0.5248788600921631,0.82112,0.7511,0.277891,0.65744,0.738666,0,0.74808654,-0.126048,0.88236839,0.47951418,0.15928,0.8504,0.8194,0.8353,0.8335,,0.17993871,0.09795443,0.89772707,21.04057314,0.0,21040573138188.89,500,50,1,0.10699999999999998,0.8875900219183802,0.13739999999999997,0.8552343179208851,0.12319999999999998,0.8718296628744391,0.123,0.8699509445778103,,
10,0.0995011828858278,0.5047131032848358,0.8266,0.767,0.189337,0.682264,0.754017,0,0.69583927,-0.157491,0.83898838,0.47838232,0.13742,0.8537,0.8264,0.8421,0.842,,0.06648195,0.11585747,0.9008119,21.30317361,0.0,21303173606980.133,500,50,1,0.10370000000000001,0.8910343387955328,0.13039999999999996,0.8625404446299969,0.11640000000000006,0.8789270431061476,0.11450000000000005,0.878822669867446,,
11,0.0993844170297569,0.4759862783813476,0.83636,0.7941,0.206224,0.691698,0.770939,0,0.64734071,-0.188867,0.82424783,0.46438538,0.11922,0.8578,0.8318,0.8427,0.8434,,0.11866666,0.11085492,0.91060321,25.40100388,0.0,25401003883606.68,500,50,1,0.09960000000000002,0.8953136415822983,0.125,0.8681765995198831,0.11580000000000001,0.8795532825383572,0.11309999999999998,0.8802838952092684,,
12,0.0992554663077387,0.4672302264213562,0.8408,0.7707,0.200829,0.673576,0.75819,0,0.66170376,-0.179336,0.86635625,0.51325393,0.13896,0.8593,0.8317,0.8424,0.8443,,0.08937545,0.16495461,0.88583401,21.19943244,0.0,21199432443733.58,500,50,1,0.09810000000000008,0.8968792401628223,0.1251,0.8680722262811815,0.11609999999999998,0.8792401628222525,0.11219999999999997,0.8812232543575829,,
13,0.0991143625364344,0.4526415605163574,0.84536,0.8167,0.216921,0.692373,0.774888,0,0.57689706,-0.238902,0.86209635,0.44982299,0.09666,0.8673,0.8409,0.8588,0.8574,,0.09199465,0.14395388,0.90181252,22.92257095,0.0,22922570952273.33,500,50,1,0.09010000000000007,0.90522909925895,0.1159,0.8776745642417284,0.09970000000000001,0.8963573739693144,0.09909999999999997,0.894896148627492,,
14,0.0989611405310883,0.4326857528018951,0.8521,0.8181,0.157969,0.716918,0.7822,0,0.57802457,-0.238054,0.77853419,0.42353865,0.0675,0.871,0.8459,0.8548,0.8569,,0.07340478,0.08435343,0.92526168,24.26023789,0.0,24260237885581.098,500,50,1,0.08640000000000003,0.9090909090909092,0.1109,0.8828932261768083,0.10370000000000001,0.8921824444212504,0.09960000000000002,0.894374282433984,,
15,0.0987958380969373,0.4245748507118225,0.85632,0.7483,0.217695,0.658389,0.712021,0,0.68650951,-0.163353,0.66803065,0.4322638,0.18116,0.8648,0.8342,0.8472,0.848,,0.0645016,0.11072278,0.88813791,20.41006439,0.0,20410064392520.094,500,50,1,0.09260000000000002,0.9026197682914101,0.12259999999999993,0.8706815572487215,0.11130000000000007,0.8842500782799291,0.10850000000000004,0.8850850641895418,,
16,0.0986184960198838,0.4125761563682556,0.85896,0.827,0.226712,0.719499,0.779824,0,0.51648517,-0.286942,0.73594416,0.40473305,0.09008,0.8755,0.8495,0.8597,0.8601,,0.0923021,0.12282996,0.91078395,25.34366518,0.0,25343665178177.785,500,50,1,0.08190000000000008,0.913787704832481,0.10729999999999995,0.8866506627700659,0.0988,0.8972967331176287,0.09640000000000004,0.897714226072435,,
17,0.0984291580564315,0.4079769670295715,0.8613,0.8176,0.171275,0.719036,0.786289,0,0.54636558,-0.262517,0.87388825,0.4316979,0.09884,0.8762,0.8555,0.864,0.8636,,0.06999273,0.12390693,0.903783,24.87692781,0.0,24876927805004.95,500,50,1,0.08120000000000005,0.9145183175033922,0.10129999999999995,0.8929130570921616,0.09450000000000003,0.9017847823817974,0.09289999999999998,0.901367289426991,,
18,0.0982278709228899,0.4008297025394439,0.8641,0.8301,0.195,0.712237,0.771223,0,0.51384217,-0.28917,0.72357108,0.42188908,0.12958,0.8854,0.8629,0.8737,0.8762,,0.10620231,0.14038384,0.89458576,27.26113827,0.0,27261138274746.56,500,50,1,0.07200000000000006,0.9241206554639391,0.09389999999999998,0.9006366767560798,0.08479999999999999,0.9119089865358523,0.08030000000000004,0.9145183175033922,,
19,0.0980146842838471,0.3913941623973846,0.86626,0.7906,0.188044,0.706296,0.771503,0,0.58198615,-0.235087,0.87300415,0.44453555,0.13824,0.8748,0.8535,0.8578,0.8599,,0.07826055,0.11806244,0.91075963,23.29315457,0.0,23293154569884.4,500,50,1,0.0826,0.9130570921615698,0.10329999999999995,0.8908255923181297,0.10070000000000001,0.8953136415822983,0.09660000000000002,0.8975054795950319,,
20,0.0977896507399165,0.3874816843414306,0.86758,0.8095,0.208831,0.710453,0.764603,0,0.54723527,-0.261826,0.71567612,0.3930238,0.09632,0.8811,0.8584,0.8647,0.8657,,0.09170659,0.11422726,0.9016702,23.5131241,0.0,23513124102477.246,500,50,1,0.07630000000000003,0.9196326061997704,0.09839999999999993,0.8959398810145079,0.0938,0.9025153950527085,0.09079999999999999,0.9035591274397246,,
22,0.0973042679413772,0.3779983778953552,0.87128,0.8113,0.197202,0.69407,0.755007,0,0.544747,-0.263805,0.80815717,0.4483747,0.13736,0.8842,0.8606,0.867,0.868,,0.09732036,0.15550954,0.88589627,25.49596332,0.0,25495963315454.074,500,50,1,0.07320000000000004,0.9228681765995199,0.09619999999999995,0.8982360922659431,0.09150000000000003,0.9049159795428453,0.08850000000000002,0.9059597119298612,,
24,0.0967722015414933,0.3632973152828216,0.87668,0.8229,0.217849,0.715027,0.765088,0,0.4962549,-0.304295,0.72174935,0.40391406,0.1179,0.8821,0.8636,0.8691,0.8712,,0.10204944,0.11510911,0.89779737,27.12683169,0.0,27126831687948.164,500,50,1,0.07530000000000003,0.9206763385867864,0.09319999999999995,0.901367289426991,0.08940000000000003,0.9071078175555788,0.08530000000000004,0.9092996555683123,,
26,0.0961939766255643,0.3604938577270508,0.87632,0.8292,0.203943,0.71555,0.764842,0,0.46317725,-0.334253,0.70777207,0.40395247,0.09174,0.8908,0.873,0.8786,0.8807,,0.10073931,0.15897505,0.8774766,26.66004638,0.0,26660046379660.73,500,50,1,0.06659999999999999,0.9297568103538254,0.08379999999999999,0.911178373864941,0.07989999999999997,0.9170232752322306,0.07579999999999998,0.9192151132449641,,
28,0.0955701638317722,0.3526942679977417,0.87974,0.8215,0.231741,0.740554,0.785784,0,0.51294596,-0.289928,0.71544516,0.40031043,0.13004,0.8903,0.8664,0.8758,0.874,,0.1188213,0.13035063,0.90127918,32.92719896,0.0,32927198960068.742,500,50,1,0.06710000000000005,0.9292349441603173,0.09040000000000004,0.9042897401106357,0.0827,0.9141008245485858,0.08250000000000002,0.912222106251957,,
30,0.0949013787880307,0.3470817629814148,0.88224,0.8526,0.161533,0.759933,0.802096,0,0.44702649,-0.349667,0.64845347,0.37135045,0.0717,0.8945,0.8791,0.8811,0.8838,,0.05595597,0.12740677,0.90803745,28.08989045,0.0,28089890448454.348,500,50,1,0.06290000000000007,0.9336186201857843,0.07769999999999999,0.9175451414257385,0.07740000000000002,0.9196326061997704,0.07269999999999999,0.9224506836447136,,
35,0.0930371013501972,0.3317115636920928,0.88678,0.8154,0.152811,0.745634,0.78538,0,0.49046499,-0.309392,0.69005743,0.37305453,0.1174,0.8901,0.8701,0.8729,0.8718,,0.05354112,0.10547833,0.91384119,28.8655997,0.0,28865599703015.297,500,50,1,0.06730000000000003,0.9290261976829142,0.0867,0.9081515499425947,0.08560000000000001,0.9110740006262394,0.0847,0.9099258950005219,,
40,0.0909074858712512,0.3168835677909851,0.8928,0.8397,0.161594,0.740671,0.779908,0,0.45643384,-0.340622,0.67877094,0.36750402,0.08786,0.8932,0.8767,0.8732,0.8742,,0.06633034,0.1316327,0.89568655,30.68080842,0.0,30680808416947.613,500,50,1,0.06420000000000003,0.9322617680826637,0.08009999999999995,0.9150401836969002,0.08530000000000004,0.9113871203423443,0.08230000000000004,0.9124308527293602,,
45,0.0885256621387895,0.3083895735073089,0.89436,0.8469,0.148682,0.734121,0.764256,0,0.41253015,-0.384544,0.72759979,0.39164631,0.06892,0.9007,0.8822,0.8838,0.8863,,0.06502533,0.16332254,0.85648264,32.15560109,0.0,32155601087097.21,500,50,1,0.056700000000000084,0.9400897609852834,0.0746,0.9207807118254879,0.07469999999999999,0.9224506836447136,0.07020000000000004,0.9250600146122534,,
50,0.0859063148881594,0.3007580543899536,0.89754,0.8602,0.159569,0.776308,0.801902,0,0.38812871,-0.411024,0.62614256,0.33784751,0.08442,0.9049,0.8875,0.8962,0.8961,,0.07948182,0.10561673,0.91299207,29.72156934,0.0,29721569336366.887,500,50,1,0.05249999999999999,0.9444734370107505,0.06930000000000003,0.9263124934766725,0.06230000000000002,0.9353929652437115,0.06040000000000001,0.93528859200501,,
60,0.0800210112662942,0.2782804738140106,0.90504,0.8485,0.18157,0.768017,0.790784,0,0.41633622,-0.380556,0.58689989,0.29758482,0.06644,0.9049,0.8894,0.8943,0.8953,,0.09189774,0.07216871,0.93298254,30.24243404,0.0,30242434037319.81,500,50,1,0.05249999999999999,0.9444734370107505,0.06740000000000002,0.9282955850120029,0.06420000000000003,0.9334098737083812,0.06120000000000003,0.9344536060953972,,
70,0.0733964907130287,0.2607528261566162,0.91148,0.8645,0.190373,0.765505,0.782349,0,0.3753965,-0.42551,0.64155209,0.30585456,0.05052,0.906,0.891,0.8897,0.892,,0.07503262,0.08651051,0.92592491,28.76396642,0.0,28763966424542.54,500,50,1,0.0514,0.9456215426364681,0.06579999999999997,0.9299655568312285,0.06879999999999997,0.9286087047281079,0.0645,0.9310092892182446,,
80,0.0661958709099075,0.237682426662445,0.9191,0.8843,0.181188,0.800079,0.810897,0,0.34938076,-0.456701,0.58091691,0.28603297,0.03992,0.9123,0.9009,0.9011,0.903,,0.06546266,0.08953253,0.92494865,31.54465091,0.0,31544650909788.24,500,50,1,0.04510000000000003,0.9521970566746687,0.05589999999999995,0.9402985074626866,0.05740000000000001,0.9405072539400898,0.05349999999999999,0.9424903454754202,,
90,0.0585964550139705,0.2158279941225052,0.92628,0.8726,0.158473,0.800637,0.816748,0,0.32734047,-0.485,0.6130819,0.27780689,0.04914,0.9149,0.9031,0.9014,0.9014,,0.05283196,0.0723525,0.93705551,32.36578084,0.0,32365780839698.785,500,50,1,0.04249999999999998,0.9549107608809102,0.05369999999999997,0.9425947187141218,0.05710000000000004,0.9408203736561945,0.05510000000000004,0.9408203736561945,,
100,0.050785365865591,0.1958467103099823,0.93346,0.8995,0.144111,0.826656,0.835723,0,0.28713109,-0.54192,0.52814651,0.26580528,0.03596,0.9175,0.909,0.9088,0.9101,,0.04112263,0.05851528,0.95021606,32.96431983,0.0,32964319826470.65,500,50,1,0.03990000000000005,0.9576244650871517,0.047799999999999954,0.948752739797516,0.049699999999999966,0.9485439933201129,0.0464,0.9499008454232335,,
110,0.0429549384031209,0.1634694710254669,0.94432,0.9096,0.146905,0.837262,0.840637,0,0.25061645,-0.60099,0.44090328,0.21852434,0.0124,0.9258,0.9191,0.918,0.9189,,0.03757387,0.04954681,0.95579826,35.91009726,0.0,35910097262913.81,500,50,1,0.03160000000000007,0.9662874438993841,0.037699999999999956,0.9592944369063773,0.04049999999999998,0.9581463312806597,0.03759999999999997,0.9590856904289741,,
120,0.0352979837383848,0.1384804622507095,0.95302,0.9086,0.129602,0.856208,0.852736,0,0.22366065,-0.65041,0.46102321,0.23921954,0.0328,0.9288,0.9211,0.9249,0.9247,,0.03593362,0.04209099,0.95954391,37.92351095,0.0,37923510947264.84,500,50,1,0.02860000000000007,0.9694186410604321,0.035699999999999954,0.9613819016804093,0.03359999999999996,0.9653480847510699,0.03180000000000005,0.9651393382736666,,
130,0.0280030415072042,0.1077676559948921,0.96336,0.9109,0.143636,0.859924,0.853754,0,0.20408267,-0.690194,0.39014021,0.20230784,0.0111,0.9256,0.9199,0.919,0.9195,,0.03513012,0.03708843,0.96285683,37.12678287,0.0,37126782873432.11,500,50,1,0.03180000000000005,0.966078697421981,0.03689999999999993,0.9601294228159901,0.03949999999999998,0.9591900636676757,0.03700000000000003,0.9597119298611836,,
140,0.021249737397836,0.0692109207808971,0.9769,0.9224,0.14728,0.891542,0.884303,0,0.1570903,-0.803851,0.3337067,0.20150059,0.00596,0.9327,0.9286,0.9296,0.9299,,0.02976242,0.02277135,0.97503188,39.35314642,0.0,39353146417709.08,500,50,1,0.024700000000000055,0.9734891973697944,0.028200000000000003,0.969209894583029,0.028900000000000037,0.9702536269700449,0.026600000000000068,0.9705667466861496,,
150,0.0152043601703842,0.0449054736697673,0.98496,0.9225,0.132797,0.893223,0.890174,0,0.13416923,-0.872347,0.26276921,0.20600434,0.00826,0.9359,0.9341,0.9348,0.9343,,0.02449368,0.02159844,0.97779793,36.52335684,0.0,36523356840425.51,500,50,1,0.021500000000000075,0.9768291410082455,0.022699999999999942,0.9749504227116168,0.023700000000000054,0.9756810353825279,0.022199999999999998,0.97515916918902,,
160,0.0100157670756454,0.0261600042468309,0.99148,0.9355,0.117338,0.936143,0.935272,0,0.10010084,-0.999562,0.24342247,0.17815474,0.00168,0.941,0.9393,0.9403,0.9404,,0.02247788,0.00993835,0.98940334,36.44493617,0.0,36444936166425.11,500,50,1,0.01640000000000008,0.9821521761820269,0.01749999999999996,0.9803778311240998,0.018199999999999994,0.9814215635111159,0.016100000000000003,0.9815259367498174,,
170,0.0058117184955653,0.0060233843806385,0.99866,0.9514,0.065572,0.982703,0.983179,0,0.04367922,-1.359725,0.1937602,0.17209175,4e-05,0.9519,0.9526,0.9524,0.9512,,0.01077356,0.00308385,0.99731667,35.49599382,0.0,35495993821803.555,500,50,1,0.00550000000000006,0.993528859200501,0.0041999999999999815,0.9942594718714122,0.006099999999999994,0.9940507253940091,0.005299999999999971,0.9927982465295899,,
180,0.0026957320586227,0.0020006278873234,0.99984,0.9552,0.016444,0.997082,0.997315,1,0.0264882,-1.576948,0.20098397,0.17400348,0.0,0.9549,0.9548,0.9551,0.9548,,0.00244832,0.00105951,0.99925694,33.91081666,0.0,33910816664675.73,500,50,1,0.0025000000000000577,0.996660056361549,0.0020000000000000018,0.9965556831228474,0.0034000000000000696,0.9968688028389521,0.0017000000000000348,0.9965556831228474,,
190,0.0007445336922613,0.0016936924315243,0.99996,0.9574,0.002452,0.99924,0.99924,1,0.0219075,-1.659407,0.20098116,0.17649801,0.0,0.9575,0.9572,0.9576,0.9564,,0.00042661,0.00047828,0.99952172,33.76905999,0.0,33769059990805.477,500,50,1,-9.999999999998899e-05,0.9993737605677905,-0.00040000000000006697,0.9990606408516858,0.0009000000000000119,0.9994781338064921,9.999999999998899e-05,0.9982256549420729,,
200,6.168375916970619e-06,0.001779655107297,0.9999,0.9581,0.00076,1.0,,1,0.02150887,-1.667382,0.19794653,0.18014654,0.0,0.9574,0.9568,0.9585,0.9565,,0.00047828,0.0,,33.65734594,0.0,33657345937542.797,500,50,1,0.0,0.9992693873290889,0.0,0.9986431478968792,0.0,1.0004174929548064,0.0,0.9983300281807745,,
